i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.33483,0.340,0.30,0.40,1.8446,1.5000,2.0000,0.07268,0.00,0.10,FuuA,1516.83725,70.72054,151.68372,neutron,pi+
1,11,0.270,0.25,0.50,0.33035,0.345,0.30,0.40,1.8398,1.5000,2.0000,0.14883,0.10,0.20,FuuA,1331.56383,46.33056,133.15638,neutron,pi+
2,11,0.271,0.25,0.50,0.33000,0.350,0.30,0.40,1.8403,1.5000,2.0000,0.24024,0.20,0.30,FuuA,1060.51994,50.71129,106.05199,neutron,pi+
3,11,0.270,0.25,0.50,0.33024,0.345,0.30,0.40,1.8395,1.5000,2.0000,0.34700,0.30,0.40,FuuA,788.44326,54.66805,78.84433,neutron,pi+
4,11,0.270,0.25,0.50,0.33075,0.348,0.30,0.40,1.8403,1.5000,2.0000,0.50103,0.40,0.60,FuuA,393.30466,48.54543,39.33047,neutron,pi+
5,11,0.263,0.25,0.50,0.34648,0.377,0.30,0.40,1.8794,1.5000,2.0000,0.65526,0.60,0.80,FuuA,128.21377,207.93960,12.82138,neutron,pi+
6,11,0.267,0.25,0.50,0.33583,0.423,0.40,0.50,1.8452,1.5000,2.0000,0.08223,0.00,0.10,FuuA,779.44686,124.99740,77.94469,neutron,pi+
7,11,0.269,0.25,0.50,0.33197,0.449,0.40,0.50,1.8405,1.5000,2.0000,0.14613,0.10,0.20,FuuA,614.29380,60.96556,61.42938,neutron,pi+
8,11,0.271,0.25,0.50,0.32947,0.449,0.40,0.50,1.8390,1.5000,2.0000,0.23705,0.20,0.30,FuuA,530.38446,61.76565,53.03845,neutron,pi+
9,11,0.271,0.25,0.50,0.32997,0.441,0.40,0.50,1.8398,1.5000,2.0000,0.32823,0.30,0.40,FuuA,446.12543,70.21716,44.61254,neutron,pi+
10,11,0.270,0.25,0.50,0.33097,0.450,0.40,0.50,1.8398,1.5000,2.0000,0.46523,0.40,0.60,FuuA,266.85422,60.84123,26.68542,neutron,pi+
11,11,0.263,0.25,0.50,0.34409,0.432,0.40,0.50,1.8666,1.5000,2.0000,0.62715,0.60,0.80,FuuA,130.80702,133.70414,13.08070,neutron,pi+
12,11,0.268,0.25,0.50,0.33325,0.540,0.50,0.60,1.8418,1.5000,2.0000,0.15209,0.10,0.20,FuuA,318.29400,71.19212,31.82940,neutron,pi+
13,11,0.270,0.25,0.50,0.33045,0.549,0.50,0.60,1.8383,1.5000,2.0000,0.25059,0.20,0.30,FuuA,263.59384,86.45776,26.35938,neutron,pi+
14,11,0.269,0.25,0.50,0.33165,0.549,0.50,0.60,1.8420,1.5000,2.0000,0.33153,0.30,0.40,FuuA,224.51598,86.58854,22.45160,neutron,pi+
15,11,0.266,0.25,0.50,0.33946,0.534,0.50,0.60,1.8581,1.5000,2.0000,0.46186,0.40,0.60,FuuA,168.67241,90.80348,16.86724,neutron,pi+
16,11,0.279,0.25,0.50,0.39630,0.344,0.30,0.40,2.2689,2.0000,2.5000,0.06576,0.00,0.10,FuuA,865.80278,45.56198,86.58028,neutron,pi+
17,11,0.288,0.25,0.50,0.38328,0.345,0.30,0.40,2.2594,2.0000,2.5000,0.15005,0.10,0.20,FuuA,774.43520,30.91938,77.44352,neutron,pi+
18,11,0.289,0.25,0.50,0.38185,0.348,0.30,0.40,2.2606,2.0000,2.5000,0.24722,0.20,0.30,FuuA,610.80776,34.78027,61.08078,neutron,pi+
19,11,0.288,0.25,0.50,0.38298,0.347,0.30,0.40,2.2601,2.0000,2.5000,0.34732,0.30,0.40,FuuA,449.86735,41.01825,44.98674,neutron,pi+
20,11,0.288,0.25,0.50,0.38218,0.344,0.30,0.40,2.2562,2.0000,2.5000,0.48996,0.40,0.60,FuuA,246.63423,35.19477,24.66342,neutron,pi+
21,11,0.279,0.25,0.50,0.39736,0.359,0.30,0.40,2.2787,2.0000,2.5000,0.65474,0.60,0.80,FuuA,85.16957,68.00003,8.51696,neutron,pi+
22,11,0.275,0.25,0.50,0.40183,0.443,0.40,0.50,2.2726,2.0000,2.5000,0.06283,0.00,0.10,FuuA,397.80517,71.22197,39.78052,neutron,pi+
23,11,0.285,0.25,0.50,0.38709,0.444,0.40,0.50,2.2611,2.0000,2.5000,0.15148,0.10,0.20,FuuA,362.86484,40.85220,36.28648,neutron,pi+
24,11,0.289,0.25,0.50,0.38062,0.447,0.40,0.50,2.2582,2.0000,2.5000,0.25013,0.20,0.30,FuuA,296.73803,40.78721,29.67380,neutron,pi+
25,11,0.289,0.25,0.50,0.38201,0.449,0.40,0.50,2.2597,2.0000,2.5000,0.35139,0.30,0.40,FuuA,226.38117,50.10072,22.63812,neutron,pi+
26,11,0.287,0.25,0.50,0.38369,0.445,0.40,0.50,2.2591,2.0000,2.5000,0.48323,0.40,0.60,FuuA,146.53361,46.01060,14.65336,neutron,pi+
27,11,0.275,0.25,0.50,0.40163,0.444,0.40,0.50,2.2719,2.0000,2.5000,0.66889,0.60,0.80,FuuA,60.03256,71.83300,6.00326,neutron,pi+
28,11,0.261,0.25,0.50,0.43592,0.473,0.40,0.50,2.3482,2.0000,2.5000,0.81892,0.80,1.60,FuuA,20.22273,324.37020,2.02227,neutron,pi+
29,11,0.274,0.25,0.50,0.40355,0.540,0.50,0.60,2.2738,2.0000,2.5000,0.07108,0.00,0.10,FuuA,193.26034,91.38682,19.32603,neutron,pi+
30,11,0.283,0.25,0.50,0.38998,0.545,0.50,0.60,2.2636,2.0000,2.5000,0.15507,0.10,0.20,FuuA,173.94571,60.16678,17.39457,neutron,pi+
31,11,0.287,0.25,0.50,0.38327,0.546,0.50,0.60,2.2571,2.0000,2.5000,0.24675,0.20,0.30,FuuA,152.61364,52.74719,15.26136,neutron,pi+
32,11,0.288,0.25,0.50,0.38253,0.546,0.50,0.60,2.2596,2.0000,2.5000,0.34156,0.30,0.40,FuuA,125.57659,59.84396,12.55766,neutron,pi+
33,11,0.281,0.25,0.50,0.39309,0.545,0.50,0.60,2.2658,2.0000,2.5000,0.47171,0.40,0.60,FuuA,88.86445,59.14394,8.88645,neutron,pi+
34,11,0.268,0.25,0.50,0.41646,0.538,0.50,0.60,2.2998,2.0000,2.5000,0.65583,0.60,0.80,FuuA,44.76056,106.05691,4.47606,neutron,pi+
35,11,0.292,0.25,0.50,0.46121,0.343,0.30,0.40,2.7499,2.5000,3.0000,0.06564,0.00,0.10,FuuA,520.93509,41.08234,52.09351,neutron,pi+
36,11,0.301,0.25,0.50,0.44931,0.346,0.30,0.40,2.7517,2.5000,3.0000,0.15013,0.10,0.20,FuuA,450.08062,29.08588,45.00806,neutron,pi+
37,11,0.304,0.25,0.50,0.44537,0.346,0.30,0.40,2.7520,2.5000,3.0000,0.24724,0.20,0.30,FuuA,363.35289,32.95297,36.33529,neutron,pi+
38,11,0.302,0.25,0.50,0.44712,0.348,0.30,0.40,2.7511,2.5000,3.0000,0.34769,0.30,0.40,FuuA,261.33374,38.12121,26.13337,neutron,pi+
39,11,0.303,0.25,0.50,0.44613,0.345,0.30,0.40,2.7484,2.5000,3.0000,0.49201,0.40,0.60,FuuA,141.47255,34.55455,14.14726,neutron,pi+
40,11,0.292,0.25,0.50,0.46136,0.353,0.30,0.40,2.7566,2.5000,3.0000,0.67755,0.60,0.80,FuuA,45.08094,58.45180,4.50809,neutron,pi+
41,11,0.270,0.25,0.50,0.50495,0.382,0.30,0.40,2.8093,2.5000,3.0000,0.88442,0.80,1.60,FuuA,7.83201,434.95980,0.78320,neutron,pi+
42,11,0.289,0.25,0.50,0.46463,0.445,0.40,0.50,2.7500,2.5000,3.0000,0.06635,0.00,0.10,FuuA,231.93993,59.80841,23.19399,neutron,pi+
43,11,0.297,0.25,0.50,0.45436,0.444,0.40,0.50,2.7508,2.5000,3.0000,0.15422,0.10,0.20,FuuA,210.06903,38.13111,21.00690,neutron,pi+
44,11,0.304,0.25,0.50,0.44456,0.447,0.40,0.50,2.7514,2.5000,3.0000,0.24991,0.20,0.30,FuuA,171.09919,40.82164,17.10992,neutron,pi+
45,11,0.304,0.25,0.50,0.44556,0.447,0.40,0.50,2.7513,2.5000,3.0000,0.34420,0.30,0.40,FuuA,135.83242,47.52031,13.58324,neutron,pi+
46,11,0.302,0.25,0.50,0.44797,0.446,0.40,0.50,2.7507,2.5000,3.0000,0.47923,0.40,0.60,FuuA,85.78145,42.35735,8.57815,neutron,pi+
47,11,0.289,0.25,0.50,0.46503,0.449,0.40,0.50,2.7520,2.5000,3.0000,0.68116,0.60,0.80,FuuA,32.87963,64.51287,3.28796,neutron,pi+
48,11,0.272,0.25,0.50,0.49706,0.439,0.40,0.50,2.7780,2.5000,3.0000,0.87745,0.80,1.60,FuuA,8.94370,167.12576,0.89437,neutron,pi+
49,11,0.287,0.25,0.50,0.46658,0.540,0.50,0.60,2.7491,2.5000,3.0000,0.06317,0.00,0.10,FuuA,114.10570,91.20076,11.41057,neutron,pi+
50,11,0.294,0.25,0.50,0.45835,0.546,0.50,0.60,2.7501,2.5000,3.0000,0.14970,0.10,0.20,FuuA,100.83390,52.95606,10.08339,neutron,pi+
51,11,0.301,0.25,0.50,0.44844,0.544,0.50,0.60,2.7507,2.5000,3.0000,0.24748,0.20,0.30,FuuA,87.85967,50.45289,8.78597,neutron,pi+
52,11,0.303,0.25,0.50,0.44598,0.549,0.50,0.60,2.7507,2.5000,3.0000,0.34566,0.30,0.40,FuuA,69.32942,56.23137,6.93294,neutron,pi+
53,11,0.294,0.25,0.50,0.45789,0.546,0.50,0.60,2.7526,2.5000,3.0000,0.48905,0.40,0.60,FuuA,48.45890,53.05221,4.84589,neutron,pi+
54,11,0.281,0.25,0.50,0.47834,0.540,0.50,0.60,2.7596,2.5000,3.0000,0.67994,0.60,0.80,FuuA,23.88212,92.55080,2.38821,neutron,pi+
55,11,0.266,0.25,0.50,0.50846,0.537,0.50,0.60,2.7913,2.5000,3.0000,0.86244,0.80,1.60,FuuA,8.82565,199.01460,0.88257,neutron,pi+
