i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.139,0.00,0.25,0.48553,0.323,0.30,0.35,1.3654,1.0000,1.5000,0.06987,0.00,0.10,FuuA,2753.70031,50.05897,275.37003,neutron,pi-
1,11,0.125,0.00,0.25,0.52578,0.323,0.30,0.35,1.3223,1.0000,1.5000,0.12789,0.10,0.15,FuuA,2626.04137,40.85957,262.60414,neutron,pi-
2,11,0.115,0.00,0.25,0.55874,0.323,0.30,0.35,1.2955,1.0000,1.5000,0.17680,0.15,0.20,FuuA,2419.72061,31.31201,241.97206,neutron,pi-
3,11,0.108,0.00,0.25,0.59003,0.323,0.30,0.35,1.2764,1.0000,1.5000,0.22586,0.20,0.25,FuuA,2153.14336,27.23849,215.31434,neutron,pi-
4,11,0.102,0.00,0.25,0.61978,0.323,0.30,0.35,1.2616,1.0000,1.5000,0.27477,0.25,0.30,FuuA,1858.65958,24.20907,185.86596,neutron,pi-
5,11,0.097,0.00,0.25,0.64533,0.323,0.30,0.35,1.2499,1.0000,1.5000,0.32464,0.30,0.35,FuuA,1555.94522,22.93094,155.59452,neutron,pi-
6,11,0.094,0.00,0.25,0.66336,0.323,0.30,0.35,1.2432,1.0000,1.5000,0.37493,0.35,0.40,FuuA,1266.54630,22.88146,126.65463,neutron,pi-
7,11,0.092,0.00,0.25,0.67602,0.324,0.30,0.35,1.2390,1.0000,1.5000,0.42496,0.40,0.45,FuuA,1004.76346,23.92815,100.47635,neutron,pi-
8,11,0.091,0.00,0.25,0.68260,0.323,0.30,0.35,1.2360,1.0000,1.5000,0.47505,0.45,0.50,FuuA,777.22211,24.80172,77.72221,neutron,pi-
9,11,0.091,0.00,0.25,0.68703,0.324,0.30,0.35,1.2345,1.0000,1.5000,0.52536,0.50,0.55,FuuA,583.16976,26.36614,58.31698,neutron,pi-
10,11,0.089,0.00,0.25,0.69506,0.325,0.30,0.35,1.2332,1.0000,1.5000,0.57370,0.55,0.60,FuuA,428.80399,30.57966,42.88040,neutron,pi-
11,11,0.087,0.00,0.25,0.70608,0.326,0.30,0.35,1.2295,1.0000,1.5000,0.64086,0.60,0.70,FuuA,273.90215,28.06753,27.39022,neutron,pi-
12,11,0.082,0.00,0.25,0.73822,0.328,0.30,0.35,1.2239,1.0000,1.5000,0.74024,0.70,0.80,FuuA,127.28182,51.09142,12.72818,neutron,pi-
13,11,0.076,0.00,0.25,0.78566,0.334,0.30,0.35,1.2220,1.0000,1.5000,0.84320,0.80,1.60,FuuA,49.53149,133.95360,4.95315,neutron,pi-
14,11,0.140,0.00,0.25,0.48066,0.373,0.35,0.40,1.3707,1.0000,1.5000,0.07002,0.00,0.10,FuuA,1830.02542,61.03542,183.00254,neutron,pi-
15,11,0.128,0.00,0.25,0.51574,0.373,0.35,0.40,1.3310,1.0000,1.5000,0.12951,0.10,0.15,FuuA,1754.48811,50.66136,175.44881,neutron,pi-
16,11,0.119,0.00,0.25,0.54374,0.373,0.35,0.40,1.3058,1.0000,1.5000,0.17827,0.15,0.20,FuuA,1635.86794,40.27269,163.58679,neutron,pi-
17,11,0.112,0.00,0.25,0.57076,0.373,0.35,0.40,1.2868,1.0000,1.5000,0.22631,0.20,0.25,FuuA,1481.18948,34.95103,148.11895,neutron,pi-
18,11,0.106,0.00,0.25,0.59752,0.373,0.35,0.40,1.2715,1.0000,1.5000,0.27501,0.25,0.30,FuuA,1302.67213,30.53795,130.26721,neutron,pi-
19,11,0.101,0.00,0.25,0.62353,0.373,0.35,0.40,1.2589,1.0000,1.5000,0.32543,0.30,0.35,FuuA,1108.99657,28.20395,110.89966,neutron,pi-
20,11,0.097,0.00,0.25,0.64482,0.373,0.35,0.40,1.2493,1.0000,1.5000,0.37454,0.35,0.40,FuuA,925.58756,28.44393,92.55876,neutron,pi-
21,11,0.094,0.00,0.25,0.66095,0.374,0.35,0.40,1.2429,1.0000,1.5000,0.42441,0.40,0.45,FuuA,752.74948,27.50800,75.27495,neutron,pi-
22,11,0.092,0.00,0.25,0.67332,0.374,0.35,0.40,1.2392,1.0000,1.5000,0.47556,0.45,0.50,FuuA,593.41233,29.45226,59.34123,neutron,pi-
23,11,0.091,0.00,0.25,0.68084,0.374,0.35,0.40,1.2363,1.0000,1.5000,0.52571,0.50,0.55,FuuA,459.15530,31.09776,45.91553,neutron,pi-
24,11,0.091,0.00,0.25,0.68377,0.374,0.35,0.40,1.2343,1.0000,1.5000,0.57488,0.55,0.60,FuuA,349.08591,34.06514,34.90859,neutron,pi-
25,11,0.090,0.00,0.25,0.69255,0.375,0.35,0.40,1.2326,1.0000,1.5000,0.64469,0.60,0.70,FuuA,228.24778,27.37953,22.82478,neutron,pi-
26,11,0.087,0.00,0.25,0.70629,0.376,0.35,0.40,1.2284,1.0000,1.5000,0.74060,0.70,0.80,FuuA,116.99970,40.90976,11.69997,neutron,pi-
27,11,0.082,0.00,0.25,0.74024,0.378,0.35,0.40,1.2228,1.0000,1.5000,0.85524,0.80,1.60,FuuA,49.12833,62.89597,4.91283,neutron,pi-
28,11,0.141,0.00,0.25,0.47822,0.423,0.40,0.45,1.3729,1.0000,1.5000,0.07323,0.00,0.10,FuuA,1243.39342,70.73889,124.33934,neutron,pi-
29,11,0.131,0.00,0.25,0.50546,0.423,0.40,0.45,1.3415,1.0000,1.5000,0.12915,0.10,0.15,FuuA,1200.35002,70.36800,120.03500,neutron,pi-
30,11,0.123,0.00,0.25,0.53022,0.423,0.40,0.45,1.3167,1.0000,1.5000,0.17562,0.15,0.20,FuuA,1135.19990,49.67571,113.51999,neutron,pi-
31,11,0.116,0.00,0.25,0.55548,0.423,0.40,0.45,1.2959,1.0000,1.5000,0.22596,0.20,0.25,FuuA,1039.38459,43.13658,103.93846,neutron,pi-
32,11,0.110,0.00,0.25,0.57954,0.423,0.40,0.45,1.2804,1.0000,1.5000,0.27548,0.25,0.30,FuuA,927.14984,38.11827,92.71498,neutron,pi-
