i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.362,0.25,0.70,0.54545,0.344,0.30,0.40,4.0629,3.0000,8.0000,0.12358,0.00,0.20,FuuA,173.19264,20.02924,17.31926,neutron,pi-
1,11,0.360,0.25,0.70,0.54836,0.346,0.30,0.40,4.0382,3.0000,8.0000,0.28866,0.20,0.40,FuuA,117.14438,19.65241,11.71444,neutron,pi-
2,11,0.361,0.25,0.70,0.54650,0.346,0.30,0.40,4.0441,3.0000,8.0000,0.48568,0.40,0.60,FuuA,52.23672,29.36057,5.22367,neutron,pi-
3,11,0.349,0.25,0.70,0.55766,0.348,0.30,0.40,4.0050,3.0000,8.0000,0.69328,0.60,1.60,FuuA,16.15664,44.29299,1.61566,neutron,pi-
4,11,0.358,0.25,0.70,0.54550,0.475,0.40,0.60,4.0269,3.0000,8.0000,0.13016,0.00,0.20,FuuA,64.62950,24.29018,6.46295,neutron,pi-
5,11,0.361,0.25,0.70,0.54593,0.480,0.40,0.60,4.0396,3.0000,8.0000,0.29214,0.20,0.40,FuuA,44.67678,20.72779,4.46768,neutron,pi-
6,11,0.355,0.25,0.70,0.55257,0.484,0.40,0.60,4.0300,3.0000,8.0000,0.48480,0.40,0.60,FuuA,24.62256,28.45390,2.46226,neutron,pi-
7,11,0.334,0.25,0.70,0.57295,0.483,0.40,0.60,3.9394,3.0000,8.0000,0.72709,0.60,1.60,FuuA,8.84420,42.19919,0.88442,neutron,pi-
