i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
30,11,0.287,0.25,0.50,0.38412,0.544,0.50,0.60,2.2573,2.0000,2.5000,0.23479,0.20,0.30,FuuA,133.93665,70.24481,13.39367,neutron,pi-
31,11,0.288,0.25,0.50,0.38270,0.544,0.50,0.60,2.2588,2.0000,2.5000,0.34050,0.30,0.40,FuuA,107.81638,71.08536,10.78164,neutron,pi-
32,11,0.278,0.25,0.50,0.39668,0.548,0.50,0.60,2.2695,2.0000,2.5000,0.49454,0.40,0.60,FuuA,68.90147,79.62553,6.89015,neutron,pi-
33,11,0.269,0.25,0.50,0.41395,0.524,0.50,0.60,2.2942,2.0000,2.5000,0.66100,0.60,0.80,FuuA,38.50498,166.58284,3.85050,neutron,pi-
34,11,0.291,0.25,0.50,0.46175,0.343,0.30,0.40,2.7500,2.5000,3.0000,0.06599,0.00,0.10,FuuA,470.25640,49.87817,47.02564,neutron,pi-
35,11,0.300,0.25,0.50,0.44992,0.345,0.30,0.40,2.7518,2.5000,3.0000,0.14947,0.10,0.20,FuuA,411.61238,36.06216,41.16124,neutron,pi-
36,11,0.303,0.25,0.50,0.44619,0.346,0.30,0.40,2.7522,2.5000,3.0000,0.24749,0.20,0.30,FuuA,328.06835,39.62707,32.80683,neutron,pi-
37,11,0.302,0.25,0.50,0.44786,0.347,0.30,0.40,2.7513,2.5000,3.0000,0.34882,0.30,0.40,FuuA,235.68159,47.58199,23.56816,neutron,pi-
38,11,0.302,0.25,0.50,0.44688,0.345,0.30,0.40,2.7486,2.5000,3.0000,0.49015,0.40,0.60,FuuA,128.91987,42.61443,12.89199,neutron,pi-
39,11,0.292,0.25,0.50,0.46216,0.351,0.30,0.40,2.7576,2.5000,3.0000,0.67808,0.60,0.80,FuuA,41.08252,69.69669,4.10825,neutron,pi-
40,11,0.289,0.25,0.50,0.46441,0.443,0.40,0.50,2.7502,2.5000,3.0000,0.07147,0.00,0.10,FuuA,205.46380,71.07687,20.54638,neutron,pi-
41,11,0.297,0.25,0.50,0.45431,0.444,0.40,0.50,2.7508,2.5000,3.0000,0.15863,0.10,0.20,FuuA,183.96692,49.94112,18.39669,neutron,pi-
42,11,0.304,0.25,0.50,0.44511,0.446,0.40,0.50,2.7511,2.5000,3.0000,0.25031,0.20,0.30,FuuA,151.67491,53.10779,15.16749,neutron,pi-
43,11,0.303,0.25,0.50,0.44621,0.445,0.40,0.50,2.7510,2.5000,3.0000,0.34375,0.30,0.40,FuuA,120.28467,60.56904,12.02847,neutron,pi-
44,11,0.301,0.25,0.50,0.44865,0.446,0.40,0.50,2.7502,2.5000,3.0000,0.48563,0.40,0.60,FuuA,73.17619,52.83498,7.31762,neutron,pi-
45,11,0.285,0.25,0.50,0.47114,0.448,0.40,0.50,2.7558,2.5000,3.0000,0.72026,0.60,0.80,FuuA,23.39762,81.62912,2.33976,neutron,pi-
46,11,0.287,0.25,0.50,0.46677,0.548,0.50,0.60,2.7499,2.5000,3.0000,0.06900,0.00,0.10,FuuA,91.39006,112.47713,9.13901,neutron,pi-
47,11,0.294,0.25,0.50,0.45841,0.544,0.50,0.60,2.7496,2.5000,3.0000,0.15582,0.10,0.20,FuuA,87.16493,70.87494,8.71649,neutron,pi-
48,11,0.301,0.25,0.50,0.44942,0.544,0.50,0.60,2.7509,2.5000,3.0000,0.24777,0.20,0.30,FuuA,75.63584,70.98032,7.56358,neutron,pi-
49,11,0.303,0.25,0.50,0.44645,0.544,0.50,0.60,2.7511,2.5000,3.0000,0.34893,0.30,0.40,FuuA,61.05409,70.76928,6.10541,neutron,pi-
50,11,0.294,0.25,0.50,0.45839,0.548,0.50,0.60,2.7527,2.5000,3.0000,0.48506,0.40,0.60,FuuA,41.14661,78.94886,4.11466,neutron,pi-
51,11,0.281,0.25,0.50,0.48010,0.539,0.50,0.60,2.7630,2.5000,3.0000,0.68545,0.60,0.80,FuuA,20.36527,99.55352,2.03653,neutron,pi-
