i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.363,0.25,0.70,0.54534,0.344,0.30,0.40,4.0793,3.0000,8.0000,0.12467,0.00,0.20,FuuA,185.04845,16.15484,18.50485,neutron,pi+
1,11,0.361,0.25,0.70,0.54780,0.347,0.30,0.40,4.0491,3.0000,8.0000,0.28892,0.20,0.40,FuuA,125.23630,16.09603,12.52363,neutron,pi+
2,11,0.360,0.25,0.70,0.54463,0.348,0.30,0.40,4.0174,3.0000,8.0000,0.48492,0.40,0.60,FuuA,57.31553,23.66567,5.73155,neutron,pi+
3,11,0.353,0.25,0.70,0.56079,0.348,0.30,0.40,4.0778,3.0000,8.0000,0.69392,0.60,1.60,FuuA,16.85202,35.97136,1.68520,neutron,pi+
4,11,0.360,0.25,0.70,0.54598,0.477,0.40,0.60,4.0562,3.0000,8.0000,0.12750,0.00,0.20,FuuA,69.73093,18.74320,6.97309,neutron,pi+
5,11,0.362,0.25,0.70,0.54472,0.484,0.40,0.60,4.0421,3.0000,8.0000,0.29289,0.20,0.40,FuuA,49.02649,15.50106,4.90265,neutron,pi+
6,11,0.357,0.25,0.70,0.55294,0.484,0.40,0.60,4.0504,3.0000,8.0000,0.49000,0.40,0.60,FuuA,26.44280,21.80621,2.64428,neutron,pi+
7,11,0.334,0.25,0.70,0.57421,0.490,0.40,0.60,3.9539,3.0000,8.0000,0.73263,0.60,1.60,FuuA,9.36874,32.81205,0.93687,neutron,pi+
