i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.164,0.00,0.25,0.46507,0.324,0.30,0.35,1.2329,1.0000,1.5000,0.06474,0.00,0.10,FuuA,3023.39083,30.54478,302.33908,neutron,pi+
1,11,0.152,0.00,0.25,0.51057,0.324,0.30,0.35,1.2321,1.0000,1.5000,0.12558,0.10,0.15,FuuA,2725.34604,31.10479,272.53460,neutron,pi+
2,11,0.142,0.00,0.25,0.54518,0.324,0.30,0.35,1.2257,1.0000,1.5000,0.17459,0.15,0.20,FuuA,2456.86604,28.45307,245.68660,neutron,pi+
3,11,0.136,0.00,0.25,0.56899,0.324,0.30,0.35,1.2205,1.0000,1.5000,0.22482,0.20,0.25,FuuA,2163.81097,26.87208,216.38110,neutron,pi+
4,11,0.132,0.00,0.25,0.58381,0.324,0.30,0.35,1.2161,1.0000,1.5000,0.27536,0.25,0.30,FuuA,1860.11068,27.44056,186.01107,neutron,pi+
5,11,0.131,0.00,0.25,0.59021,0.324,0.30,0.35,1.2115,1.0000,1.5000,0.32508,0.30,0.35,FuuA,1567.21369,28.54832,156.72137,neutron,pi+
6,11,0.132,0.00,0.25,0.58749,0.324,0.30,0.35,1.2069,1.0000,1.5000,0.37457,0.35,0.40,FuuA,1295.17514,30.25158,129.51751,neutron,pi+
7,11,0.134,0.00,0.25,0.57579,0.324,0.30,0.35,1.2050,1.0000,1.5000,0.42536,0.40,0.45,FuuA,1041.16627,30.32963,104.11663,neutron,pi+
8,11,0.134,0.00,0.25,0.57992,0.325,0.30,0.35,1.2137,1.0000,1.5000,0.47549,0.45,0.50,FuuA,796.13247,33.36327,79.61325,neutron,pi+
9,11,0.129,0.00,0.25,0.60163,0.326,0.30,0.35,1.2216,1.0000,1.5000,0.52476,0.50,0.55,FuuA,590.70219,40.24913,59.07022,neutron,pi+
10,11,0.121,0.00,0.25,0.63455,0.328,0.30,0.35,1.2240,1.0000,1.5000,0.57570,0.55,0.60,FuuA,424.71593,53.96007,42.47159,neutron,pi+
11,11,0.111,0.00,0.25,0.68175,0.331,0.30,0.35,1.2221,1.0000,1.5000,0.64301,0.60,1.60,FuuA,265.94049,70.18586,26.59405,neutron,pi+
12,11,0.165,0.00,0.25,0.46146,0.374,0.35,0.40,1.2315,1.0000,1.5000,0.06386,0.00,0.10,FuuA,2072.66445,36.54133,207.26644,neutron,pi+
13,11,0.156,0.00,0.25,0.49554,0.374,0.35,0.40,1.2325,1.0000,1.5000,0.12496,0.10,0.15,FuuA,1888.70782,35.10424,188.87078,neutron,pi+
14,11,0.146,0.00,0.25,0.53048,0.374,0.35,0.40,1.2277,1.0000,1.5000,0.17596,0.15,0.20,FuuA,1709.88943,32.54757,170.98894,neutron,pi+
15,11,0.139,0.00,0.25,0.55558,0.374,0.35,0.40,1.2227,1.0000,1.5000,0.22488,0.20,0.25,FuuA,1525.77336,32.27276,152.57734,neutron,pi+
16,11,0.135,0.00,0.25,0.57267,0.374,0.35,0.40,1.2186,1.0000,1.5000,0.27410,0.25,0.30,FuuA,1334.26790,30.86316,133.42679,neutron,pi+
17,11,0.132,0.00,0.25,0.58396,0.374,0.35,0.40,1.2147,1.0000,1.5000,0.32451,0.30,0.35,FuuA,1138.82732,32.10811,113.88273,neutron,pi+
18,11,0.131,0.00,0.25,0.58922,0.374,0.35,0.40,1.2108,1.0000,1.5000,0.37397,0.35,0.40,FuuA,954.83069,33.74835,95.48307,neutron,pi+
19,11,0.132,0.00,0.25,0.58722,0.374,0.35,0.40,1.2067,1.0000,1.5000,0.42383,0.40,0.45,FuuA,784.24309,35.44789,78.42431,neutron,pi+
20,11,0.134,0.00,0.25,0.57657,0.374,0.35,0.40,1.2038,1.0000,1.5000,0.47416,0.45,0.50,FuuA,630.71666,37.49018,63.07167,neutron,pi+
21,11,0.135,0.00,0.25,0.57463,0.374,0.35,0.40,1.2090,1.0000,1.5000,0.52509,0.50,0.55,FuuA,486.33355,38.51681,48.63336,neutron,pi+
22,11,0.132,0.00,0.25,0.58909,0.376,0.35,0.40,1.2181,1.0000,1.5000,0.57533,0.55,0.60,FuuA,360.97271,46.47755,36.09727,neutron,pi+
23,11,0.120,0.00,0.25,0.63549,0.378,0.35,0.40,1.2218,1.0000,1.5000,0.66142,0.60,1.60,FuuA,215.10679,42.01563,21.51068,neutron,pi+
24,11,0.166,0.00,0.25,0.45933,0.424,0.40,0.45,1.2303,1.0000,1.5000,0.06340,0.00,0.10,FuuA,1443.87596,43.56411,144.38760,neutron,pi+
25,11,0.159,0.00,0.25,0.48508,0.424,0.40,0.45,1.2315,1.0000,1.5000,0.12403,0.10,0.15,FuuA,1334.57935,40.72572,133.45794,neutron,pi+
26,11,0.150,0.00,0.25,0.51555,0.424,0.40,0.45,1.2299,1.0000,1.5000,0.17392,0.15,0.20,FuuA,1217.39485,38.59189,121.73948,neutron,pi+
27,11,0.142,0.00,0.25,0.54283,0.424,0.40,0.45,1.2243,1.0000,1.5000,0.22520,0.20,0.25,FuuA,1094.06847,35.02176,109.40685,neutron,pi+
28,11,0.138,0.00,0.25,0.56206,0.424,0.40,0.45,1.2202,1.0000,1.5000,0.27547,0.25,0.30,FuuA,965.87297,36.85159,96.58730,neutron,pi+
29,11,0.134,0.00,0.25,0.57541,0.424,0.40,0.45,1.2173,1.0000,1.5000,0.32380,0.30,0.35,FuuA,841.35106,36.20107,84.13511,neutron,pi+
30,11,0.132,0.00,0.25,0.58428,0.424,0.40,0.45,1.2139,1.0000,1.5000,0.37489,0.35,0.40,FuuA,713.09651,36.59562,71.30965,neutron,pi+
31,11,0.131,0.00,0.25,0.58846,0.424,0.40,0.45,1.2103,1.0000,1.5000,0.42460,0.40,0.45,FuuA,595.41762,40.86155,59.54176,neutron,pi+
32,11,0.132,0.00,0.25,0.58701,0.424,0.40,0.45,1.2071,1.0000,1.5000,0.47218,0.45,0.50,FuuA,492.77848,42.80118,49.27785,neutron,pi+
33,11,0.134,0.00,0.25,0.57817,0.424,0.40,0.45,1.2033,1.0000,1.5000,0.52348,0.50,0.55,FuuA,395.73508,43.07140,39.57351,neutron,pi+
34,11,0.134,0.00,0.25,0.57498,0.424,0.40,0.45,1.2051,1.0000,1.5000,0.57440,0.55,0.60,FuuA,308.91636,48.85986,30.89164,neutron,pi+
35,11,0.126,0.00,0.25,0.61103,0.426,0.40,0.45,1.2163,1.0000,1.5000,0.68184,0.60,1.60,FuuA,174.40809,33.70087,17.44081,neutron,pi+
36,11,0.166,0.00,0.25,0.45863,0.474,0.45,0.50,1.2290,1.0000,1.5000,0.06512,0.00,0.10,FuuA,1011.56898,50.20072,101.15690,neutron,pi+
37,11,0.160,0.00,0.25,0.47834,0.474,0.45,0.50,1.2303,1.0000,1.5000,0.12416,0.10,0.15,FuuA,946.35193,49.50889,94.63519,neutron,pi+
38,11,0.154,0.00,0.25,0.50290,0.474,0.45,0.50,1.2303,1.0000,1.5000,0.17326,0.15,0.20,FuuA,871.15033,43.52898,87.11503,neutron,pi+
39,11,0.146,0.00,0.25,0.53091,0.474,0.45,0.50,1.2263,1.0000,1.5000,0.22584,0.20,0.25,FuuA,787.04281,40.38415,78.70428,neutron,pi+
40,11,0.140,0.00,0.25,0.55116,0.474,0.45,0.50,1.2215,1.0000,1.5000,0.27565,0.25,0.30,FuuA,704.70444,42.84547,70.47044,neutron,pi+
41,11,0.137,0.00,0.25,0.56565,0.474,0.45,0.50,1.2189,1.0000,1.5000,0.32407,0.30,0.35,FuuA,621.48636,40.60020,62.14864,neutron,pi+
42,11,0.134,0.00,0.25,0.57671,0.474,0.45,0.50,1.2161,1.0000,1.5000,0.37333,0.35,0.40,FuuA,537.97731,43.26815,53.79773,neutron,pi+
43,11,0.132,0.00,0.25,0.58382,0.474,0.45,0.50,1.2134,1.0000,1.5000,0.42228,0.40,0.45,FuuA,458.60961,43.60321,45.86096,neutron,pi+
44,11,0.132,0.00,0.25,0.58735,0.474,0.45,0.50,1.2100,1.0000,1.5000,0.47323,0.45,0.50,FuuA,381.64468,46.07577,38.16447,neutron,pi+
45,11,0.131,0.00,0.25,0.58888,0.474,0.45,0.50,1.2065,1.0000,1.5000,0.52395,0.50,0.55,FuuA,312.75470,50.00634,31.27547,neutron,pi+
46,11,0.130,0.00,0.25,0.58941,0.474,0.45,0.50,1.2029,1.0000,1.5000,0.57438,0.55,0.60,FuuA,252.51300,54.50565,25.25130,neutron,pi+
47,11,0.125,0.00,0.25,0.60930,0.475,0.45,0.50,1.2087,1.0000,1.5000,0.70911,0.60,1.60,FuuA,136.02426,32.27082,13.60243,neutron,pi+
48,11,0.166,0.00,0.25,0.45689,0.524,0.50,0.55,1.2280,1.0000,1.5000,0.06256,0.00,0.10,FuuA,722.01486,61.37482,72.20149,neutron,pi+
49,11,0.161,0.00,0.25,0.47357,0.524,0.50,0.55,1.2295,1.0000,1.5000,0.12360,0.10,0.15,FuuA,679.75138,54.24573,67.97514,neutron,pi+
50,11,0.156,0.00,0.25,0.49477,0.524,0.50,0.55,1.2299,1.0000,1.5000,0.17553,0.15,0.20,FuuA,628.72267,50.09294,62.87227,neutron,pi+
51,11,0.149,0.00,0.25,0.51873,0.524,0.50,0.55,1.2279,1.0000,1.5000,0.22417,0.20,0.25,FuuA,576.02938,50.06659,57.60294,neutron,pi+
52,11,0.143,0.00,0.25,0.53964,0.524,0.50,0.55,1.2236,1.0000,1.5000,0.27270,0.25,0.30,FuuA,522.65607,46.85810,52.26561,neutron,pi+
53,11,0.139,0.00,0.25,0.55632,0.524,0.50,0.55,1.2203,1.0000,1.5000,0.32291,0.30,0.35,FuuA,465.16246,46.68419,46.51625,neutron,pi+
54,11,0.136,0.00,0.25,0.56925,0.524,0.50,0.55,1.2174,1.0000,1.5000,0.37383,0.35,0.40,FuuA,406.75498,46.55191,40.67550,neutron,pi+
55,11,0.133,0.00,0.25,0.57919,0.524,0.50,0.55,1.2147,1.0000,1.5000,0.42408,0.40,0.45,FuuA,350.91994,49.69530,35.09199,neutron,pi+
56,11,0.131,0.00,0.25,0.58896,0.524,0.50,0.55,1.2114,1.0000,1.5000,0.47525,0.45,0.50,FuuA,297.32113,50.07410,29.73211,neutron,pi+
57,11,0.128,0.00,0.25,0.59708,0.524,0.50,0.55,1.2088,1.0000,1.5000,0.52326,0.50,0.55,FuuA,250.24831,61.12879,25.02483,neutron,pi+
58,11,0.126,0.00,0.25,0.60329,0.524,0.50,0.55,1.2052,1.0000,1.5000,0.57381,0.55,0.60,FuuA,206.03281,55.14571,20.60328,neutron,pi+
59,11,0.121,0.00,0.25,0.62148,0.525,0.50,0.55,1.2037,1.0000,1.5000,0.73774,0.60,1.60,FuuA,105.42647,33.71340,10.54265,neutron,pi+
60,11,0.166,0.00,0.25,0.45604,0.574,0.55,0.60,1.2272,1.0000,1.5000,0.06388,0.00,0.10,FuuA,520.62490,70.43694,52.06249,neutron,pi+
61,11,0.162,0.00,0.25,0.47054,0.574,0.55,0.60,1.2288,1.0000,1.5000,0.12653,0.10,0.15,FuuA,492.36833,61.13580,49.23683,neutron,pi+
62,11,0.157,0.00,0.25,0.48791,0.574,0.55,0.60,1.2293,1.0000,1.5000,0.17628,0.15,0.20,FuuA,460.33394,61.22507,46.03339,neutron,pi+
63,11,0.152,0.00,0.25,0.50910,0.574,0.55,0.60,1.2281,1.0000,1.5000,0.22444,0.20,0.25,FuuA,425.33089,54.56498,42.53309,neutron,pi+
64,11,0.145,0.00,0.25,0.53166,0.574,0.55,0.60,1.2244,1.0000,1.5000,0.27501,0.25,0.30,FuuA,387.65617,54.01049,38.76562,neutron,pi+
65,11,0.140,0.00,0.25,0.55056,0.574,0.55,0.60,1.2208,1.0000,1.5000,0.32342,0.30,0.35,FuuA,350.33326,55.07869,35.03333,neutron,pi+
66,11,0.136,0.00,0.25,0.56624,0.574,0.55,0.60,1.2180,1.0000,1.5000,0.37136,0.35,0.40,FuuA,312.79343,54.71612,31.27934,neutron,pi+
67,11,0.132,0.00,0.25,0.58087,0.574,0.55,0.60,1.2155,1.0000,1.5000,0.42143,0.40,0.45,FuuA,273.88536,55.12201,27.38854,neutron,pi+
68,11,0.128,0.00,0.25,0.59412,0.574,0.55,0.60,1.2127,1.0000,1.5000,0.47599,0.45,0.50,FuuA,233.37349,54.54040,23.33735,neutron,pi+
69,11,0.126,0.00,0.25,0.60501,0.574,0.55,0.60,1.2094,1.0000,1.5000,0.52453,0.50,0.55,FuuA,199.46505,71.48790,19.94650,neutron,pi+
70,11,0.123,0.00,0.25,0.61335,0.574,0.55,0.60,1.2067,1.0000,1.5000,0.57292,0.55,0.60,FuuA,168.36092,61.66921,16.83609,neutron,pi+
71,11,0.117,0.00,0.25,0.63836,0.574,0.55,0.60,1.1995,1.0000,1.5000,0.75367,0.60,1.60,FuuA,86.76341,35.86338,8.67634,neutron,pi+
72,11,0.202,0.00,0.25,0.51753,0.324,0.30,0.35,1.7055,1.5000,2.0000,0.06427,0.00,0.10,FuuA,1562.42152,43.35187,156.24215,neutron,pi+
73,11,0.194,0.00,0.25,0.53947,0.324,0.30,0.35,1.7008,1.5000,2.0000,0.12458,0.10,0.15,FuuA,1460.87665,45.96710,146.08767,neutron,pi+
74,11,0.188,0.00,0.25,0.55589,0.324,0.30,0.35,1.6967,1.5000,2.0000,0.17520,0.15,0.20,FuuA,1339.11656,42.91465,133.91166,neutron,pi+
75,11,0.185,0.00,0.25,0.56407,0.324,0.30,0.35,1.6906,1.5000,2.0000,0.22579,0.20,0.25,FuuA,1197.92445,45.93309,119.79244,neutron,pi+
76,11,0.185,0.00,0.25,0.56527,0.324,0.30,0.35,1.6873,1.5000,2.0000,0.27340,0.25,0.30,FuuA,1049.83244,49.66774,104.98324,neutron,pi+
77,11,0.186,0.00,0.25,0.56190,0.324,0.30,0.35,1.6878,1.5000,2.0000,0.32352,0.30,0.35,FuuA,887.14480,50.12623,88.71448,neutron,pi+
78,11,0.188,0.00,0.25,0.55793,0.324,0.30,0.35,1.6889,1.5000,2.0000,0.37646,0.35,0.40,FuuA,721.36136,54.97034,72.13614,neutron,pi+
79,11,0.189,0.00,0.25,0.55430,0.324,0.30,0.35,1.6869,1.5000,2.0000,0.42630,0.40,0.45,FuuA,579.49947,60.67859,57.94995,neutron,pi+
80,11,0.190,0.00,0.25,0.55113,0.323,0.30,0.35,1.6859,1.5000,2.0000,0.47439,0.45,0.50,FuuA,456.52099,60.47200,45.65210,neutron,pi+
81,11,0.189,0.00,0.25,0.55566,0.325,0.30,0.35,1.6933,1.5000,2.0000,0.52537,0.50,0.55,FuuA,336.71176,61.75218,33.67118,neutron,pi+
82,11,0.185,0.00,0.25,0.56772,0.327,0.30,0.35,1.7026,1.5000,2.0000,0.57539,0.55,0.60,FuuA,241.55907,86.87177,24.15591,neutron,pi+
83,11,0.177,0.00,0.25,0.59577,0.331,0.30,0.35,1.7113,1.5000,2.0000,0.63738,0.60,1.60,FuuA,156.07827,97.02119,15.60783,neutron,pi+
84,11,0.203,0.00,0.25,0.51692,0.374,0.35,0.40,1.7054,1.5000,2.0000,0.06670,0.00,0.10,FuuA,1049.15801,49.93974,104.91580,neutron,pi+
85,11,0.197,0.00,0.25,0.53274,0.374,0.35,0.40,1.7018,1.5000,2.0000,0.12575,0.10,0.15,FuuA,987.84843,55.09198,98.78484,neutron,pi+
86,11,0.191,0.00,0.25,0.54869,0.374,0.35,0.40,1.6982,1.5000,2.0000,0.17306,0.15,0.20,FuuA,919.28152,50.23354,91.92815,neutron,pi+
87,11,0.187,0.00,0.25,0.55962,0.374,0.35,0.40,1.6937,1.5000,2.0000,0.22433,0.20,0.25,FuuA,829.97959,49.51805,82.99796,neutron,pi+
88,11,0.185,0.00,0.25,0.56451,0.374,0.35,0.40,1.6890,1.5000,2.0000,0.27439,0.25,0.30,FuuA,733.47453,54.40632,73.34745,neutron,pi+
89,11,0.185,0.00,0.25,0.56423,0.374,0.35,0.40,1.6870,1.5000,2.0000,0.32511,0.30,0.35,FuuA,630.08078,54.80830,63.00808,neutron,pi+
90,11,0.187,0.00,0.25,0.56065,0.374,0.35,0.40,1.6879,1.5000,2.0000,0.37889,0.35,0.40,FuuA,520.88235,60.39940,52.08824,neutron,pi+
91,11,0.188,0.00,0.25,0.55765,0.374,0.35,0.40,1.6882,1.5000,2.0000,0.42776,0.40,0.45,FuuA,427.79739,71.39522,42.77974,neutron,pi+
92,11,0.188,0.00,0.25,0.55494,0.374,0.35,0.40,1.6874,1.5000,2.0000,0.47538,0.45,0.50,FuuA,345.76823,70.73678,34.57682,neutron,pi+
93,11,0.190,0.00,0.25,0.55051,0.373,0.35,0.40,1.6848,1.5000,2.0000,0.52840,0.50,0.55,FuuA,266.41273,71.62126,26.64127,neutron,pi+
94,11,0.190,0.00,0.25,0.55169,0.374,0.35,0.40,1.6886,1.5000,2.0000,0.57539,0.55,0.60,FuuA,203.50159,86.99801,20.35016,neutron,pi+
95,11,0.184,0.00,0.25,0.57042,0.377,0.35,0.40,1.7018,1.5000,2.0000,0.65969,0.60,1.60,FuuA,121.74576,62.11880,12.17458,neutron,pi+
96,11,0.203,0.00,0.25,0.51584,0.424,0.40,0.45,1.7059,1.5000,2.0000,0.06416,0.00,0.10,FuuA,720.21410,61.55584,72.02141,neutron,pi+
97,11,0.199,0.00,0.25,0.52795,0.424,0.40,0.45,1.7026,1.5000,2.0000,0.12341,0.10,0.15,FuuA,684.17055,61.46168,68.41706,neutron,pi+
98,11,0.193,0.00,0.25,0.54253,0.424,0.40,0.45,1.6988,1.5000,2.0000,0.17483,0.15,0.20,FuuA,637.24738,54.78348,63.72474,neutron,pi+
99,11,0.189,0.00,0.25,0.55476,0.424,0.40,0.45,1.6962,1.5000,2.0000,0.22418,0.20,0.25,FuuA,582.62031,61.37623,58.26203,neutron,pi+
100,11,0.186,0.00,0.25,0.56204,0.424,0.40,0.45,1.6916,1.5000,2.0000,0.27498,0.25,0.30,FuuA,521.12751,54.81098,52.11275,neutron,pi+
101,11,0.185,0.00,0.25,0.56481,0.424,0.40,0.45,1.6871,1.5000,2.0000,0.32368,0.30,0.35,FuuA,458.67963,71.03472,45.86796,neutron,pi+
102,11,0.185,0.00,0.25,0.56417,0.424,0.40,0.45,1.6862,1.5000,2.0000,0.37240,0.35,0.40,FuuA,394.01808,61.36675,39.40181,neutron,pi+
103,11,0.186,0.00,0.25,0.56081,0.424,0.40,0.45,1.6870,1.5000,2.0000,0.43011,0.40,0.45,FuuA,320.06406,70.34839,32.00641,neutron,pi+
104,11,0.188,0.00,0.25,0.55748,0.424,0.40,0.45,1.6879,1.5000,2.0000,0.47971,0.45,0.50,FuuA,261.50101,86.03780,26.15010,neutron,pi+
105,11,0.188,0.00,0.25,0.55536,0.424,0.40,0.45,1.6873,1.5000,2.0000,0.52628,0.50,0.55,FuuA,212.37976,86.03780,21.23798,neutron,pi+
106,11,0.189,0.00,0.25,0.55187,0.424,0.40,0.45,1.6851,1.5000,2.0000,0.57904,0.55,0.60,FuuA,164.40645,86.79849,16.44065,neutron,pi+
107,11,0.185,0.00,0.25,0.56523,0.425,0.40,0.45,1.6964,1.5000,2.0000,0.69600,0.60,1.60,FuuA,87.89519,57.41168,8.78952,neutron,pi+
108,11,0.203,0.00,0.25,0.51531,0.474,0.45,0.50,1.7061,1.5000,2.0000,0.06670,0.00,0.10,FuuA,496.57582,70.66824,49.65758,neutron,pi+
109,11,0.199,0.00,0.25,0.52596,0.474,0.45,0.50,1.7030,1.5000,2.0000,0.12687,0.10,0.15,FuuA,473.55486,71.25942,47.35549,neutron,pi+
110,11,0.196,0.00,0.25,0.53592,0.474,0.45,0.50,1.6999,1.5000,2.0000,0.17207,0.15,0.20,FuuA,448.08848,70.80903,44.80885,neutron,pi+
111,11,0.191,0.00,0.25,0.54885,0.474,0.45,0.50,1.6972,1.5000,2.0000,0.22240,0.20,0.25,FuuA,413.33053,60.82950,41.33305,neutron,pi+
112,11,0.188,0.00,0.25,0.55825,0.474,0.45,0.50,1.6940,1.5000,2.0000,0.27290,0.25,0.30,FuuA,374.07512,71.53250,37.40751,neutron,pi+
113,11,0.186,0.00,0.25,0.56327,0.474,0.45,0.50,1.6899,1.5000,2.0000,0.32572,0.30,0.35,FuuA,330.17800,61.66414,33.01780,neutron,pi+
114,11,0.185,0.00,0.25,0.56454,0.474,0.45,0.50,1.6861,1.5000,2.0000,0.37629,0.35,0.40,FuuA,287.33332,86.32107,28.73333,neutron,pi+
115,11,0.185,0.00,0.25,0.56341,0.474,0.45,0.50,1.6860,1.5000,2.0000,0.42567,0.40,0.45,FuuA,245.24495,70.96162,24.52449,neutron,pi+
116,11,0.187,0.00,0.25,0.55982,0.474,0.45,0.50,1.6870,1.5000,2.0000,0.48421,0.45,0.50,FuuA,198.13976,86.04308,19.81398,neutron,pi+
117,11,0.187,0.00,0.25,0.55769,0.474,0.45,0.50,1.6874,1.5000,2.0000,0.52580,0.50,0.55,FuuA,167.45358,123.43980,16.74536,neutron,pi+
118,11,0.188,0.00,0.25,0.55691,0.474,0.45,0.50,1.6891,1.5000,2.0000,0.57366,0.55,0.60,FuuA,135.76292,87.55527,13.57629,neutron,pi+
119,11,0.183,0.00,0.25,0.57072,0.475,0.45,0.50,1.6950,1.5000,2.0000,0.72441,0.60,1.60,FuuA,66.82130,58.62207,6.68213,neutron,pi+
120,11,0.204,0.00,0.25,0.51398,0.524,0.50,0.55,1.7064,1.5000,2.0000,0.06399,0.00,0.10,FuuA,348.71128,87.00454,34.87113,neutron,pi+
121,11,0.201,0.00,0.25,0.52219,0.524,0.50,0.55,1.7038,1.5000,2.0000,0.12103,0.10,0.15,FuuA,335.57439,86.87177,33.55744,neutron,pi+
122,11,0.197,0.00,0.25,0.53154,0.524,0.50,0.55,1.7005,1.5000,2.0000,0.17230,0.15,0.20,FuuA,317.62885,70.73959,31.76289,neutron,pi+
123,11,0.192,0.00,0.25,0.54467,0.524,0.50,0.55,1.6977,1.5000,2.0000,0.22788,0.20,0.25,FuuA,292.87973,71.33918,29.28797,neutron,pi+
124,11,0.189,0.00,0.25,0.55384,0.524,0.50,0.55,1.6954,1.5000,2.0000,0.27378,0.25,0.30,FuuA,269.84366,86.59642,26.98437,neutron,pi+
125,11,0.187,0.00,0.25,0.56009,0.524,0.50,0.55,1.6920,1.5000,2.0000,0.32182,0.30,0.35,FuuA,243.93453,70.96517,24.39345,neutron,pi+
126,11,0.186,0.00,0.25,0.56313,0.524,0.50,0.55,1.6883,1.5000,2.0000,0.37411,0.35,0.40,FuuA,214.62513,85.89647,21.46251,neutron,pi+
127,11,0.185,0.00,0.25,0.56421,0.524,0.50,0.55,1.6864,1.5000,2.0000,0.42147,0.40,0.45,FuuA,187.82158,86.59642,18.78216,neutron,pi+
128,11,0.186,0.00,0.25,0.56320,0.524,0.50,0.55,1.6861,1.5000,2.0000,0.47516,0.45,0.50,FuuA,158.25471,87.69522,15.82547,neutron,pi+
129,11,0.186,0.00,0.25,0.56190,0.524,0.50,0.55,1.6876,1.5000,2.0000,0.52236,0.50,0.55,FuuA,133.60735,121.49280,13.36073,neutron,pi+
130,11,0.186,0.00,0.25,0.56120,0.524,0.50,0.55,1.6900,1.5000,2.0000,0.56053,0.55,0.60,FuuA,115.06437,121.10340,11.50644,neutron,pi+
131,11,0.180,0.00,0.25,0.57933,0.524,0.50,0.55,1.6921,1.5000,2.0000,0.72108,0.60,1.60,FuuA,60.36067,59.04044,6.03607,neutron,pi+
132,11,0.203,0.00,0.25,0.51483,0.574,0.55,0.60,1.7064,1.5000,2.0000,0.07591,0.00,0.10,FuuA,245.86271,86.73442,24.58627,neutron,pi+
133,11,0.201,0.00,0.25,0.52174,0.574,0.55,0.60,1.7040,1.5000,2.0000,0.13054,0.10,0.15,FuuA,237.34956,123.82920,23.73496,neutron,pi+
134,11,0.198,0.00,0.25,0.52833,0.574,0.55,0.60,1.7015,1.5000,2.0000,0.17052,0.15,0.20,FuuA,228.20618,86.72918,22.82062,neutron,pi+
135,11,0.195,0.00,0.25,0.53793,0.574,0.55,0.60,1.6982,1.5000,2.0000,0.21930,0.20,0.25,FuuA,214.76341,86.70165,21.47634,neutron,pi+
136,11,0.191,0.00,0.25,0.54768,0.574,0.55,0.60,1.6959,1.5000,2.0000,0.26688,0.25,0.30,FuuA,199.33581,86.45776,19.93358,neutron,pi+
137,11,0.188,0.00,0.25,0.55581,0.574,0.55,0.60,1.6939,1.5000,2.0000,0.31518,0.30,0.35,FuuA,182.18751,87.55527,18.21875,neutron,pi+
138,11,0.186,0.00,0.25,0.56110,0.574,0.55,0.60,1.6916,1.5000,2.0000,0.36596,0.35,0.40,FuuA,163.22186,87.40686,16.32219,neutron,pi+
139,11,0.185,0.00,0.25,0.56531,0.574,0.55,0.60,1.6890,1.5000,2.0000,0.42088,0.40,0.45,FuuA,142.37156,88.66057,14.23716,neutron,pi+
140,11,0.184,0.00,0.25,0.56759,0.574,0.55,0.60,1.6876,1.5000,2.0000,0.46716,0.45,0.50,FuuA,124.96409,124.21860,12.49641,neutron,pi+
