i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
141,11,0.183,0.00,0.25,0.57004,0.574,0.55,0.60,1.6905,1.5000,2.0000,0.52561,0.50,0.55,FuuA,103.64519,86.04308,10.36452,neutron,pi+
142,11,0.182,0.00,0.25,0.57356,0.574,0.55,0.60,1.6937,1.5000,2.0000,0.59875,0.55,0.60,FuuA,79.41175,123.82920,7.94117,neutron,pi+
143,11,0.173,0.00,0.25,0.59827,0.574,0.55,0.60,1.6860,1.5000,2.0000,0.75900,0.60,1.60,FuuA,42.80067,76.27043,4.28007,neutron,pi+
144,11,0.231,0.00,0.25,0.55511,0.324,0.30,0.35,2.1089,2.0000,2.5000,0.06349,0.00,0.10,FuuA,934.03773,112.47713,93.40377,neutron,pi+
145,11,0.228,0.00,0.25,0.56119,0.324,0.30,0.35,2.1094,2.0000,2.5000,0.12577,0.10,0.15,FuuA,872.90514,114.81590,87.29051,neutron,pi+
146,11,0.227,0.00,0.25,0.56443,0.324,0.30,0.35,2.1068,2.0000,2.5000,0.16830,0.15,0.20,FuuA,814.57483,158.48580,81.45748,neutron,pi+
147,11,0.227,0.00,0.25,0.56386,0.324,0.30,0.35,2.1063,2.0000,2.5000,0.21845,0.20,0.25,FuuA,730.13494,112.27696,73.01349,neutron,pi+
148,11,0.227,0.00,0.25,0.56290,0.324,0.30,0.35,2.1069,2.0000,2.5000,0.27583,0.25,0.30,FuuA,622.41774,158.87520,62.24177,neutron,pi+
149,11,0.228,0.00,0.25,0.56225,0.324,0.30,0.35,2.1069,2.0000,2.5000,0.32084,0.30,0.35,FuuA,535.71421,156.92820,53.57142,neutron,pi+
150,11,0.228,0.00,0.25,0.56209,0.324,0.30,0.35,2.1069,2.0000,2.5000,0.37132,0.35,0.40,FuuA,439.85106,161.60100,43.98511,neutron,pi+
151,11,0.228,0.00,0.25,0.56182,0.324,0.30,0.35,2.1066,2.0000,2.5000,0.43081,0.40,0.45,FuuA,336.71790,154.20240,33.67179,neutron,pi+
152,11,0.228,0.00,0.25,0.56092,0.323,0.30,0.35,2.1055,2.0000,2.5000,0.49833,0.45,0.50,FuuA,237.59003,161.21160,23.75900,neutron,pi+
0,11,0.231,0.00,0.25,0.55524,0.340,0.30,0.40,2.1085,2.0000,2.5000,0.06021,0.00,0.10,FuuA,831.68677,91.64932,83.16868,neutron,pi+
1,11,0.228,0.00,0.25,0.56138,0.350,0.30,0.40,2.1086,2.0000,2.5000,0.14041,0.10,0.20,FuuA,709.60413,64.91129,70.96041,neutron,pi+
